"PHEC","GENDER","AGE","YEAR","GONO_CASES","POP"
"East Midlands","Female","13-14",2012,1,52579
"East Midlands","Female","13-14",2013,1,51671
"East Midlands","Female","13-14",2014,5,49954
"East Midlands","Female","13-14",2015,6,48907
"East Midlands","Female","13-14",2016,7,48907
"East Midlands","Female","15-19",2012,196,141597
"East Midlands","Female","15-19",2013,246,139665
"East Midlands","Female","15-19",2014,191,138952
"East Midlands","Female","15-19",2015,167,137819
"East Midlands","Female","15-19",2016,146,137819
"East Midlands","Female","20-24",2012,228,155280
"East Midlands","Female","20-24",2013,256,156068
"East Midlands","Female","20-24",2014,201,156445
"East Midlands","Female","20-24",2015,178,156461
"East Midlands","Female","20-24",2016,225,156461
"East Midlands","Female","25-34",2012,108,278030
"East Midlands","Female","25-34",2013,154,282796
"East Midlands","Female","25-34",2014,163,286642
"East Midlands","Female","25-34",2015,121,289924
"East Midlands","Female","25-34",2016,174,289924
"East Midlands","Female","35-44",2012,35,306283
"East Midlands","Female","35-44",2013,32,298981
"East Midlands","Female","35-44",2014,45,293392
"East Midlands","Female","35-44",2015,37,291485
"East Midlands","Female","35-44",2016,41,291485
"East Midlands","Female","45-64",2012,12,606325
"East Midlands","Female","45-64",2013,23,609471
"East Midlands","Female","45-64",2014,22,616089
"East Midlands","Female","45-64",2015,18,621843
"East Midlands","Female","45-64",2016,28,621843
"East Midlands","Female","65+",2012,1,442658
"East Midlands","Female","65+",2013,1,454786
"East Midlands","Female","65+",2014,0,466188
"East Midlands","Female","65+",2015,0,474472
"East Midlands","Female","65+",2016,1,474472
"East Midlands","Male","13-14",2012,1,55331
"East Midlands","Male","13-14",2013,1,54410
"East Midlands","Male","13-14",2014,2,52448
"East Midlands","Male","13-14",2015,0,50851
"East Midlands","Male","13-14",2016,1,50851
"East Midlands","Male","15-19",2012,92,149754
"East Midlands","Male","15-19",2013,120,147961
"East Midlands","Male","15-19",2014,107,146913
"East Midlands","Male","15-19",2015,111,145232
"East Midlands","Male","15-19",2016,95,145232
"East Midlands","Male","20-24",2012,276,159446
"East Midlands","Male","20-24",2013,347,162166
"East Midlands","Male","20-24",2014,344,165006
"East Midlands","Male","20-24",2015,326,166395
"East Midlands","Male","20-24",2016,301,166395
"East Midlands","Male","25-34",2012,248,274035
"East Midlands","Male","25-34",2013,285,278488
"East Midlands","Male","25-34",2014,383,282265
"East Midlands","Male","25-34",2015,329,286178
